"_ano_pesquisa","regiao_onde_mora","nivel","modelo_de_trabalho_atual","qtd_respondentes"
"2023","Sudeste","Sênior","Modelo 100% remoto","458"
"2023","Sudeste","Pleno","Modelo 100% remoto","372"
"2023","Sudeste",,,"283"
"2023","Sudeste","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","222"
"2023","Sudeste",,"Modelo 100% remoto","217"
"2023","Sudeste","Júnior","Modelo 100% remoto","202"
"2023","Sudeste",,"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","185"
"2023","Sudeste","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","176"
"2023","Sul","Sênior","Modelo 100% remoto","171"
"2023","Sudeste","Pleno","Modelo híbrido com dias fixos de trabalho presencial","162"
"2023","Sudeste","Sênior","Modelo híbrido com dias fixos de trabalho presencial","148"
"2023","Sudeste","Júnior","Modelo híbrido com dias fixos de trabalho presencial","143"
"2023","Sul","Pleno","Modelo 100% remoto","142"
"2023","Sudeste","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","123"
"2023","Sudeste","Júnior","Modelo 100% presencial","122"
"2023","Sudeste",,"Modelo híbrido com dias fixos de trabalho presencial","118"
"2023","Nordeste",,,"107"
"2023","Sudeste","Pleno","Modelo 100% presencial","97"
"2023","Nordeste","Pleno","Modelo 100% remoto","97"
"2023","Nordeste","Sênior","Modelo 100% remoto","97"
"2023","Nordeste","Júnior","Modelo 100% remoto","81"
"2023","Sul",,,"75"
"2023","Sudeste","Sênior","Modelo 100% presencial","73"
"2023","Sudeste",,"Modelo 100% presencial","72"
"2023","Sul","Júnior","Modelo 100% presencial","70"
"2023","Sul","Júnior","Modelo 100% remoto","70"
"2023","Sul",,"Modelo 100% remoto","63"
"2023","Sul","Pleno","Modelo 100% presencial","56"
"2023","Centro-oeste","Sênior","Modelo 100% remoto","45"
"2023","Sul","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","45"
"2023","Nordeste","Júnior","Modelo 100% presencial","43"
"2023","Sul","Pleno","Modelo híbrido com dias fixos de trabalho presencial","43"
