"_ano_pesquisa","cargo_atual","nivel","genero","cor_raca_etnia","pcd","qtd_respondentes"
"2023",,,"Masculino","Branca","Não","700"
"2023",,,"Masculino","Parda","Não","243"
"2023",,,"Feminino","Branca","Não","224"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Branca","Não","187"
"2023","Analista de Dados/Data Analyst","Pleno","Masculino","Branca","Não","167"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Branca","Não","154"
"2023","Cientista de Dados/Data Scientist","Pleno","Masculino","Branca","Não","118"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Branca","Não","117"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Branca","Não","111"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Branca","Não","107"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Branca","Não","101"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Branca","Não","83"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","Branca","Não","73"
"2023",,,"Masculino","Preta","Não","72"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Branca","Não","71"
"2023","Analista de Dados/Data Analyst","Pleno","Feminino","Branca","Não","71"
"2023",,,"Feminino","Parda","Não","71"
"2023","Analista de Dados/Data Analyst","Sênior","Masculino","Parda","Não","61"
"2023","Analista de Dados/Data Analyst","Pleno","Masculino","Parda","Não","58"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Parda","Não","54"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Branca","Não","54"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Parda","Não","51"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Branca","Não","51"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Masculino","Parda","Não","48"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Parda","Não","47"
"2023","Analista de Dados/Data Analyst","Sênior","Feminino","Branca","Não","46"
"2023","Outra Opção","Júnior","Masculino","Branca","Não","45"
"2023","Cientista de Dados/Data Scientist","Pleno","Masculino","Parda","Não","44"
"2023","Cientista de Dados/Data Scientist","Pleno","Feminino","Branca","Não","39"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Branca","Não","39"
"2023","Analytics Engineer","Sênior","Masculino","Branca","Não","38"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Parda","Não","37"
"2023","Analista de Negócios/Business Analyst","Sênior","Masculino","Branca","Não","37"
"2023","Analista de Negócios/Business Analyst","Pleno","Masculino","Branca","Não","33"
"2023","Cientista de Dados/Data Scientist","Sênior","Feminino","Branca","Não","33"
"2023",,,"Masculino","Amarela","Não","33"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","Feminino","Branca","Não","32"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Masculino","Branca","Não","32"
"2023","Outra Opção","Sênior","Masculino","Branca","Não","30"
"2023",,,"Feminino","Preta","Não","30"
"2023","Outra Opção","Pleno","Masculino","Branca","Não","30"
"2023","Cientista de Dados/Data Scientist","Sênior","Masculino","Parda","Não","30"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Feminino","Branca","Não","28"
"2023","Outra Opção","Júnior","Masculino","Parda","Não","28"
"2023","Cientista de Dados/Data Scientist","Júnior","Feminino","Branca","Não","26"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Masculino","Preta","Não","26"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","Masculino","Branca","Não","25"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Preta","Não","24"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","Masculino","Parda","Não","23"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","Parda","Não","23"
"2023","Cientista de Dados/Data Scientist","Júnior","Masculino","Parda","Não","22"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","Parda","Não","22"
"2023","Outra Opção","Júnior","Feminino","Branca","Não","22"
