"_ano_pesquisa","dimensao","setor","numero_de_funcionarios","valor","qtd_respondentes"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","29"
"2023","desafio_gestor","Varejo","Acima de 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","29"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","25"
"2023","desafio_gestor","Varejo","Acima de 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","23"
"2023","desafio_gestor","Varejo","Acima de 3.000","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","22"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","21"
"2023","desafio_gestor","Varejo","Acima de 3.000","Garantir retorno do investimento (ROI) em projetos de dados.","19"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Dividir o tempo entre entregas técnicas e gestão de pessoas.","17"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Garantir retorno do investimento (ROI) em projetos de dados.","16"
"2023","desafio_gestor","Indústria","Acima de 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","15"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","Acima de 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","15"
"2023","desafio_gestor","Indústria","Acima de 3.000","Garantir retorno do investimento (ROI) em projetos de dados.","14"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Gestão de projetos envolvendo áreas multidisciplinares da empresa.","14"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Conseguir levar inovação para a empresa através dos dados.","13"
"2023","desafio_gestor","Varejo","Acima de 3.000","Gestão de projetos envolvendo áreas multidisciplinares da empresa.","13"
"2023","desafio_gestor","Indústria","Acima de 3.000","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","13"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 101 a 500","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","13"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 101 a 500","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","13"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 101 a 500","Dividir o tempo entre entregas técnicas e gestão de pessoas.","13"
"2023","desafio_gestor","Outra Opção","Acima de 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","12"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Reter talentos.","12"
"2023","desafio_gestor","Indústria","Acima de 3.000","Conseguir levar inovação para a empresa através dos dados.","12"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","em meio ao crescimento da empresa.","11"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 11 a 50","Dividir o tempo entre entregas técnicas e gestão de pessoas.","11"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 11 a 50","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","11"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","11"
"2023","desafio_gestor","Varejo","Acima de 3.000","Conseguir levar inovação para a empresa através dos dados.","11"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Contratar novos talentos.","11"
"2023","desafio_gestor","Finanças ou Bancos","de 101 a 500","Gerenciar a expectativa das áreas de negócio em relação as entregas das equipes de dados.","11"
"2023","desafio_gestor","Finanças ou Bancos","Acima de 3.000","Garantir a manutenção dos projetos e modelos em produção","11"
"2023","desafio_gestor","Finanças ou Bancos","de 101 a 500","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","10"
"2023","desafio_gestor","Outra Opção","Acima de 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","10"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","Acima de 3.000","Dividir o tempo entre entregas técnicas e gestão de pessoas.","10"
"2023","desafio_gestor","Finanças ou Bancos","de 101 a 500","Organizar as informações e garantir a qualidade e confiabilidade.","10"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","Acima de 3.000","Conseguir gerar valor para as áreas de negócios através de estudos e experimentos.","10"
"2023","desafio_gestor","Varejo","Acima de 3.000","Dividir o tempo entre entregas técnicas e gestão de pessoas.","10"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","Acima de 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","10"
"2023","desafio_gestor","Indústria","Acima de 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","10"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Organizar as informações e garantir a qualidade e confiabilidade.","9"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 501 a 1.000","Dividir o tempo entre entregas técnicas e gestão de pessoas.","9"
"2023","desafio_gestor","Tecnologia/Fábrica de Software","de 101 a 500","Organizar as informações e garantir a qualidade e confiabilidade.","9"
