"_ano_pesquisa","categoria","tecnologia","qtd_respondentes","pct_respondentes_ano"
"2023","Banco de Dados","SQL SERVER","1209","22.8"
"2023","Banco de Dados","PostgreSQL","1068","20.2"
"2023","Banco de Dados","Google BigQuery","983","18.6"
"2023","Banco de Dados","MySQL","927","17.5"
"2023","Banco de Dados","Databricks","806","15.2"
"2023","Banco de Dados","S3","789","14.9"
"2023","Banco de Dados","Oracle","686","13.0"
"2023","Banco de Dados","Amazon Athena","451","8.5"
"2023","Banco de Dados","MongoDB","428","8.1"
"2023","Banco de Dados","Amazon Redshift","414","7.8"
"2023","Banco de Dados","Hive","294","5.6"
"2023","Banco de Dados","Amazon Aurora ou RDS","241","4.6"
"2023","Banco de Dados","Snowflake","220","4.2"
"2023","Banco de Dados","SAP HANA","211","4.0"
"2023","Banco de Dados","DynamoDB","208","3.9"
"2023","Banco de Dados","SQLite","179","3.4"
"2023","Banco de Dados","Elasticsearch","149","2.8"
"2023","Banco de Dados","Presto","139","2.6"
"2023","Banco de Dados","Microsoft Access","129","2.4"
"2023","Banco de Dados","MariaDB","124","2.3"
"2023","Banco de Dados","Firebase","104","2.0"
"2023","Banco de Dados","Redis","100","1.9"
"2023","Banco de Dados","DB2","100","1.9"
"2023","Banco de Dados","Google Firestore","65","1.2"
"2023","Banco de Dados","Splunk","49","0.9"
"2023","Banco de Dados","Firebird","43","0.8"
"2023","Banco de Dados","Cassandra","42","0.8"
"2023","Banco de Dados","Neo4J","34","0.6"
"2023","Banco de Dados","Sybase","29","0.5"
"2023","Banco de Dados","Teradata","27","0.5"
"2023","Banco de Dados","HBase","24","0.5"
"2023","Banco de Dados","Nenhum","21","0.4"
"2023","Banco de Dados","Datomic","20","0.4"
"2023","Banco de Dados","Excel","19","0.4"
"2023","Banco de Dados","Denodo","11","0.2"
"2023","Banco de Dados","Vertica","11","0.2"
"2023","Banco de Dados","Azure","7","0.1"
"2023","Banco de Dados","Clickhouse","6","0.1"
"2023","Banco de Dados","Não utilizo","6","0.1"
"2023","Banco de Dados","SAS","6","0.1"
"2023","Banco de Dados","Sharepoint","5","0.1"
"2023","Banco de Dados","CoachDB","4","0.1"
"2023","Banco de Dados","não utilizo","4","0.1"
"2023","Banco de Dados","Nenhuma","4","0.1"
"2023","Banco de Dados","nenhum","4","0.1"
"2023","Banco de Dados","Azure Blob Storage","4","0.1"
"2023","Banco de Dados","Google Cloud Storage","4","0.1"
"2023","Banco de Dados","Azure Data Lake Storage","3","0.1"
"2023","Banco de Dados","Trino","3","0.1"
"2023","Banco de Dados","Metabase","3","0.1"
"2023","Banco de Dados","Salesforce","3","0.1"
"2023","Banco de Dados","Não uso","3","0.1"
"2023","Banco de Dados","Planilhas","3","0.1"
"2023","Banco de Dados","Azure Synapse","3","0.1"
"2023","Banco de Dados","Caché","2","0.0"
"2023","Banco de Dados","Synapse Analytics","2","0.0"
"2023","Banco de Dados","Impala","2","0.0"
"2023","Banco de Dados","CosmosDB","2","0.0"
"2023","Banco de Dados","APIs","2","0.0"
"2023","Banco de Dados","Bigquery","2","0.0"
"2023","Banco de Dados","CSV","2","0.0"
"2023","Banco de Dados","Google BigTable","2","0.0"
"2023","Banco de Dados","Blob Storage","2","0.0"
"2023","Banco de Dados","Progress","2","0.0"
"2023","Banco de Dados","NA","2","0.0"
"2023","Banco de Dados","teradata","2","0.0"
"2023","Banco de Dados",".","2","0.0"
"2023","Banco de Dados","Cloud Storage","2","0.0"
"2023","Banco de Dados","Nao utilizo","2","0.0"
"2023","Banco de Dados","Nao trabalho ainda com dados :(","1","0.0"
"2023","Banco de Dados","Microsoft Office","1","0.0"
"2023","Banco de Dados","Jepto","1","0.0"
"2023","Banco de Dados","Teradata; hadoop/hdfs","1","0.0"
"2023","Banco de Dados","não sou da área de ti","1","0.0"
"2023","Banco de Dados","SQL Server","1","0.0"
"2023","Banco de Dados","Bases Privadas","1","0.0"
"2023","Banco de Dados","denodo","1","0.0"
