"_ano_pesquisa","situacao_de_trabalho","setor","numero_de_funcionarios","modelo_de_trabalho_atual","qtd_respondentes"
"2023","Desempregado, buscando recolocação",,,,"361"
"2023","Empregado (CLT)","Varejo","Acima de 3.000","Modelo 100% remoto","202"
"2023","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","Modelo 100% remoto","172"
"2023","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","137"
"2023","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","122"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo 100% remoto","119"
"2023","Empregado (CLT)","Indústria","Acima de 3.000","Modelo 100% remoto","90"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% remoto","81"
"2023","Somente Estudante (graduação)",,,,"78"
"2023","Trabalho na área Acadêmica/Pesquisador",,,,"63"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo 100% remoto","61"
"2023","Empregado (CLT)","Outra Opção","Acima de 3.000","Modelo 100% remoto","58"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 501 a 1.000","Modelo 100% remoto","53"
"2023","Empregado (CLT)","Área de Consultoria","Acima de 3.000","Modelo 100% remoto","52"
"2023","Empregado (CLT)","Finanças ou Bancos","Acima de 3.000","Modelo 100% presencial","52"
"2023","Empregado (CLT)","Indústria","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","48"
"2023","Empregado (CLT)","Finanças ou Bancos","de 1.001 a 3.000","Modelo 100% remoto","48"
"2023","Empregado (CLT)","Finanças ou Bancos","de 101 a 500","Modelo 100% remoto","47"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","39"
"2023","Empregado (CLT)","Área de Consultoria","de 101 a 500","Modelo 100% remoto","38"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","34"
"2023","Empregado (CLT)","Finanças ou Bancos","de 501 a 1.000","Modelo 100% remoto","31"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 51 a 100","Modelo 100% remoto","31"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo 100% remoto","31"
"2023","Servidor Público","Setor Público","Acima de 3.000","Modelo 100% presencial","30"
"2023","Empregado (CLT)","Setor Alimentício","Acima de 3.000","Modelo 100% remoto","30"
"2023","Empregado (CLT)","Área de Consultoria","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","30"
"2023","Somente Estudante (pós-graduação)",,,,"28"
"2023","Empregado (CLT)","Varejo","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","28"
"2023","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% remoto","27"
"2023","Empregado (CLT)","Varejo","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","27"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 11 a 50","Modelo 100% remoto","24"
"2023","Empregado (CLT)","Finanças ou Bancos","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","24"
"2023","Empregado (CLT)","Finanças ou Bancos","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","24"
"2023","Empregado (CLT)","Internet/Ecommerce","Acima de 3.000","Modelo 100% remoto","24"
"2023","Empregado (CLT)","Indústria","Acima de 3.000","Modelo 100% presencial","23"
"2023","Empregado (CLT)","Outra Opção","Acima de 3.000","Modelo 100% presencial","22"
"2023","Empregado (CLT)","Indústria","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","22"
"2023","Empregado (CLT)","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","22"
"2023","Empregado (CLT)","Outra Opção","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","22"
"2023","Empregado (CLT)","Finanças ou Bancos","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","22"
"2023","Empregado (CLT)","Área da Saúde","Acima de 3.000","Modelo 100% remoto","21"
