"_ano_pesquisa","cargo_atual","nivel","faixa_salarial","qtd_respondentes"
"2023",,,,"540"
"2023",,,"de R$ 12.001/mês a R$ 16.000/mês","172"
"2023",,,"de R$ 16.001/mês a R$ 20.000/mês","166"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","141"
"2023",,,"de R$ 8.001/mês a R$ 12.000/mês","126"
"2023",,,"de R$ 20.001/mês a R$ 25.000/mês","115"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","111"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 4.001/mês a R$ 6.000/mês","110"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 8.001/mês a R$ 12.000/mês","110"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","108"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 12.001/mês a R$ 16.000/mês","107"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 8.001/mês a R$ 12.000/mês","95"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","94"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","de R$ 8.001/mês a R$ 12.000/mês","89"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 4.001/mês a R$ 6.000/mês","85"
"2023",,,"de R$ 25.001/mês a R$ 30.000/mês","81"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 8.001/mês a R$ 12.000/mês","76"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 6.001/mês a R$ 8.000/mês","63"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 3.001/mês a R$ 4.000/mês","62"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","de R$ 6.001/mês a R$ 8.000/mês","61"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 8.001/mês a R$ 12.000/mês","57"
"2023",,,"de R$ 6.001/mês a R$ 8.000/mês","56"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","55"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 2.001/mês a R$ 3.000/mês","54"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 4.001/mês a R$ 6.000/mês","52"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 12.001/mês a R$ 16.000/mês","51"
"2023",,,"de R$ 30.001/mês a R$ 40.000/mês","50"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","49"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 1.001/mês a R$ 2.000/mês","47"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 3.001/mês a R$ 4.000/mês","46"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 16.001/mês a R$ 20.000/mês","45"
"2023","Analista de BI/BI Analyst","Júnior","de R$ 1.001/mês a R$ 2.000/mês","45"
"2023",,,"Acima de R$ 40.001/mês","44"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 16.001/mês a R$ 20.000/mês","43"
"2023","Analista de BI/BI Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","42"
"2023",,,"de R$ 4.001/mês a R$ 6.000/mês","42"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","de R$ 4.001/mês a R$ 6.000/mês","41"
"2023","Analista de BI/BI Analyst","Júnior","de R$ 2.001/mês a R$ 3.000/mês","39"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 6.001/mês a R$ 8.000/mês","38"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","de R$ 4.001/mês a R$ 6.000/mês","38"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 4.001/mês a R$ 6.000/mês","37"
"2023","Analista de BI/BI Analyst","Júnior","de R$ 3.001/mês a R$ 4.000/mês","37"
"2023","Analista de Negócios/Business Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","36"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 6.001/mês a R$ 8.000/mês","33"
"2023","Outra Opção","Júnior","de R$ 2.001/mês a R$ 3.000/mês","33"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 20.001/mês a R$ 25.000/mês","30"
"2023","Outra Opção","Júnior","de R$ 1.001/mês a R$ 2.000/mês","29"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 8.001/mês a R$ 12.000/mês","29"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","de R$ 12.001/mês a R$ 16.000/mês","27"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","de R$ 3.001/mês a R$ 4.000/mês","25"
"2023","Analytics Engineer","Sênior","de R$ 8.001/mês a R$ 12.000/mês","24"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 3.001/mês a R$ 4.000/mês","23"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 6.001/mês a R$ 8.000/mês","23"
"2023","Analista de Negócios/Business Analyst","Pleno","de R$ 4.001/mês a R$ 6.000/mês","23"
"2023","Analista de Negócios/Business Analyst","Sênior","de R$ 6.001/mês a R$ 8.000/mês","23"
"2023","Outra Opção","Júnior","de R$ 3.001/mês a R$ 4.000/mês","23"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 2.001/mês a R$ 3.000/mês","22"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 8.001/mês a R$ 12.000/mês","22"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 12.001/mês a R$ 16.000/mês","22"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","de R$ 6.001/mês a R$ 8.000/mês","22"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Pleno","de R$ 12.001/mês a R$ 16.000/mês","22"
"2023","Analytics Engineer","Sênior","de R$ 12.001/mês a R$ 16.000/mês","21"
"2023","Analista de Negócios/Business Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","21"
"2023","Analista de BI/BI Analyst","Pleno","de R$ 3.001/mês a R$ 4.000/mês","21"
"2023","Cientista de Dados/Data Scientist","Júnior","de R$ 1.001/mês a R$ 2.000/mês","20"
"2023","Outra Opção","Sênior","de R$ 12.001/mês a R$ 16.000/mês","20"
"2023","Analytics Engineer","Pleno","de R$ 6.001/mês a R$ 8.000/mês","20"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","de R$ 8.001/mês a R$ 12.000/mês","19"
"2023","Outra Opção","Pleno","de R$ 4.001/mês a R$ 6.000/mês","19"
"2023",,,"de R$ 3.001/mês a R$ 4.000/mês","19"
"2023","Outra Opção","Júnior","de R$ 4.001/mês a R$ 6.000/mês","19"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 12.001/mês a R$ 16.000/mês","18"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 4.001/mês a R$ 6.000/mês","17"
"2023","Outra Opção","Sênior","de R$ 8.001/mês a R$ 12.000/mês","16"
"2023","Analista de Negócios/Business Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","16"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 25.001/mês a R$ 30.000/mês","16"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","de R$ 2.001/mês a R$ 3.000/mês","16"
"2023",,,"de R$ 2.001/mês a R$ 3.000/mês","15"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 20.001/mês a R$ 25.000/mês","15"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Júnior","de R$ 1.001/mês a R$ 2.000/mês","14"
"2023","Analytics Engineer","Pleno","de R$ 8.001/mês a R$ 12.000/mês","14"
"2023","Outra Opção","Pleno","de R$ 3.001/mês a R$ 4.000/mês","14"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 12.001/mês a R$ 16.000/mês","13"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","de R$ 8.001/mês a R$ 12.000/mês","13"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 8.001/mês a R$ 12.000/mês","13"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","de R$ 30.001/mês a R$ 40.000/mês","13"
"2023","Analista de Dados/Data Analyst","Júnior","de R$ 6.001/mês a R$ 8.000/mês","13"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 2.001/mês a R$ 3.000/mês","13"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 12.001/mês a R$ 16.000/mês","12"
"2023","Analista de Suporte/Analista Técnico","Júnior","de R$ 2.001/mês a R$ 3.000/mês","12"
"2023","Analista de Negócios/Business Analyst","Júnior","de R$ 2.001/mês a R$ 3.000/mês","12"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 4.001/mês a R$ 6.000/mês","12"
"2023","Outra Opção","Pleno","de R$ 2.001/mês a R$ 3.000/mês","12"
"2023","Outra Opção","Pleno","de R$ 6.001/mês a R$ 8.000/mês","11"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 16.001/mês a R$ 20.000/mês","11"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 25.001/mês a R$ 30.000/mês","10"
"2023","Analista de Negócios/Business Analyst","Sênior","de R$ 12.001/mês a R$ 16.000/mês","10"
"2023","Analytics Engineer","Sênior","de R$ 16.001/mês a R$ 20.000/mês","10"
"2023","Analytics Engineer","Júnior","de R$ 4.001/mês a R$ 6.000/mês","10"
"2023","Engenheiro de Dados/Data Engineer/Data Architect","Sênior","Acima de R$ 40.001/mês","10"
"2023","Analista de Suporte/Analista Técnico","Pleno","de R$ 3.001/mês a R$ 4.000/mês","9"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","de R$ 2.001/mês a R$ 3.000/mês","9"
"2023","Analista de BI/BI Analyst","Júnior","de R$ 6.001/mês a R$ 8.000/mês","9"
"2023","Analista de Negócios/Business Analyst","Pleno","de R$ 8.001/mês a R$ 12.000/mês","9"
"2023","Analista de Suporte/Analista Técnico","Pleno","de R$ 4.001/mês a R$ 6.000/mês","9"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 3.001/mês a R$ 4.000/mês","9"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","de R$ 8.001/mês a R$ 12.000/mês","8"
"2023","Analista de Negócios/Business Analyst","Pleno","de R$ 3.001/mês a R$ 4.000/mês","8"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","de R$ 4.001/mês a R$ 6.000/mês","8"
