campo_padronizado,coluna_2023,coluna_2024,coluna_2025,coluna_2023_raw,coluna_2024_raw,coluna_2025_raw
ai_generativa_e_llm_e_uma_prioridade,p3_e_ai_generativa_e_uma_prioridade_em_sua_empresa,c_3_e_ai_generativa_e_llm_e_uma_prioridade,c_3_e_ai_generativa_e_llm_e_uma_prioridade,"('P3_e ', 'AI Generativa é uma prioridade em sua empresa?')",3.e_ai_generativa_e_llm_é_uma_prioridade?,3.e_ai_generativa_e_llm_é_uma_prioridade?
area_de_formacao,p1_m_area_de_formacao,c_1_m_area_de_formacao,c_1_m_area_de_formacao,"('P1_m ', 'Área de Formação')",1.m_área_de_formação,1.m_área_de_formação
aspectos_prejudicados,p1_f_aspectos_prejudicados,c_1_f_aspectos_prejudicados,c_1_f_aspectos_prejudicados,"('P1_f ', 'aspectos_prejudicados')",1.f_aspectos_prejudicados,1.f_aspectos_prejudicados
atitude_em_caso_de_retorno_presencial,p2_t_caso_sua_empresa_decida_pelo_modelo_100_presencial_qual_sera_sua_atitude,c_2_t_atitude_em_caso_de_retorno_presencial,c_2_s_atitude_em_caso_de_retorno_presencial,"('P2_t ', 'Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?')",2.t_atitude_em_caso_de_retorno_presencial,2.s_atitude_em_caso_de_retorno_presencial
atua_como_gestor,p2_d_gestor,c_2_d_atua_como_gestor,c_2_d_atua_como_gestor,"('P2_d ', 'Gestor?')",2.d_atua_como_gestor,2.d_atua_como_gestor
banco_de_dados_dia_a_dia,p4_g_quais_dos_bancos_de_dados_fontes_de_dados_listados_abaixo_voce_utiliza_no_trabalho,c_4_g_banco_de_dados_dia_a_dia,c_4_d_banco_de_dados_dia_a_dia,"('P4_g ', 'Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?')",4.g_banco_de_dados_(dia_a_dia),4.d_banco_de_dados_(dia_a_dia)
cargo_atual,p2_f_cargo_atual,c_2_f_cargo_atual,c_2_f_cargo_atual,"('P2_f ', 'Cargo Atual')",2.f_cargo_atual,2.f_cargo_atual
cargo_como_gestor,p2_e_cargo_como_gestor,c_2_e_cargo_como_gestor,c_2_e_cargo_como_gestor,"('P2_e ', 'Cargo como Gestor')",2.e_cargo_como_gestor,2.e_cargo_como_gestor
cargos_no_time_de_dados_da_empresa,p3_b_quais_desses_papeis_cargos_fazem_parte_do_time_ou_chapter_de_dados_da_sua_empresa,c_3_b_cargos_no_time_de_dados_da_empresa,c_3_b_cargos_no_time_de_dados_da_empresa,"('P3_b ', 'Quais desses papéis/cargos fazem parte do time (ou chapter) de dados da sua empresa?')",3.b_cargos_no_time_de_dados_da_empresa,3.b_cargos_no_time_de_dados_da_empresa
cloud_dia_a_dia,p4_h_dentre_as_opcoes_listadas_qual_sua_cloud_preferida,c_4_h_cloud_dia_a_dia,c_4_e_cloud_dia_a_dia,"('P4_h ', 'Dentre as opções listadas, qual sua Cloud preferida?')",4.h_cloud_(dia_a_dia),4.e_cloud_(dia_a_dia)
